uploader,n,mean_label_quality_score,clean_rate,noisy_top_mismatch_rate,pseudo_label_rate,same_class_rate,dominant_class,dominant_top
VanMoonshine,2,0.24173806736308207,0.0,0.0,0.0,0.0,ss-n,ss
bmarvs3154,1,0.2426458920214421,0.0,0.0,0.0,0.0,fx-v,fx
Chikenfngrs,1,0.24314244378713146,0.0,0.0,0.0,0.0,m-sp,m
an_rej,1,0.2432998651563886,0.0,0.0,0.0,0.0,ss-n,ss
LisaStocktonWilson,3,0.24387734314335266,0.0,0.3333333333333333,0.3333333333333333,0.0,ss-n,fx
JamesNorrington,2,0.24394173288090332,0.0,0.0,0.5,0.0,ss-u,ss
menfa,49,0.24485884044804013,0.0,0.2857142857142857,0.3673469387755102,0.02040816326530612,ss-u,ss
OptronTeamFilms,1,0.24532696988719588,0.0,0.0,0.0,0.0,fx-el,fx
IronWillTurtle,1,0.24573482633784208,0.0,0.0,0.0,0.0,fx-h,fx
naturenutt,1,0.24609361377687958,0.0,0.0,0.0,0.0,ss-n,ss
masoudyazdi,1,0.24617317682341108,0.0,0.0,0.0,0.0,ss-n,ss
igor.medvedev,1,0.24629772513244075,0.0,1.0,0.0,0.0,ss-n,ss
55L,1,0.2466111391547518,0.0,0.0,0.0,0.0,fx-h,fx
ChristianSW,1,0.2466667232893893,0.0,0.0,0.0,0.0,ss-n,ss
rebootPOV,2,0.24674202588197006,0.0,0.0,0.0,0.0,fx-v,fx
jgrzinich,1,0.2468236480669335,0.0,0.0,0.0,0.0,fx-ex,fx
sobuj34567,1,0.24743609019437382,0.0,0.0,0.0,0.0,fx-a,fx
DavidKronberg,2,0.24780574003135802,0.0,0.0,0.0,0.0,ss-u,ss
Xfrtrex,1,0.24780814482174354,0.0,0.0,0.0,0.0,ss-n,ss
budc,1,0.24787823789061722,0.0,0.0,0.0,0.0,fx-m,fx
jmschl96,1,0.2480164828964602,0.0,0.0,0.0,0.0,fx-m,fx
JaqueWhite,1,0.24862441794171905,0.0,0.0,0.0,0.0,fx-o,fx
BAP78910,1,0.24883204996397523,0.0,0.0,0.0,0.0,fx-el,fx
hookiubm,1,0.24908239449002842,0.0,0.0,0.0,0.0,ss-n,ss
HowesenbergFilms,1,0.2491017735973916,0.0,0.0,0.0,0.0,fx-a,fx
Najwa-Ahmed,2,0.24936498884240502,0.0,0.0,1.0,0.0,ss-n,ss
disquiet,9,0.24995131526541256,0.0,0.1111111111111111,0.2222222222222222,0.2222222222222222,ss-u,ss
