uploader,n,same_class_rate,same_top_class_rate,mean_classifier_confidence,mean_provided_class_probability,dominant_class
treytatum3,75,0.41333333333333333,0.7866666666666666,0.7623671,0.41458246,ss-u
AlixTwix6,12,0.4166666666666667,0.9166666666666666,0.682926,0.29436675,fx-o
Benson_Arizona,134,0.417910447761194,0.5671641791044776,0.7362974,0.44259796,ss-u
hugo.p,31,0.41935483870967744,0.7741935483870968,0.59810627,0.34279463,ss-u
tomlyne,33,0.42424242424242425,0.5151515151515151,0.58800113,0.33949727,fx-o
DigPro120,21,0.42857142857142855,0.9523809523809523,0.8668735,0.39850134,fx-h
jessicanaululo,21,0.42857142857142855,0.5238095238095238,0.72377586,0.36622185,ss-n
Aislink,7,0.42857142857142855,1.0,0.64299667,0.37612203,fx-a
ExpiredSoda,7,0.42857142857142855,0.7142857142857143,0.5876052,0.43064308,m-m
NomisYlad,7,0.42857142857142855,1.0,0.8209079,0.4570074,m-m
P4INKILLA,7,0.42857142857142855,0.8571428571428571,0.7629682,0.33186468,fx-n
Unknown_Audio,7,0.42857142857142855,0.8571428571428571,0.7061049,0.41934285,fx-el
geoffvt,7,0.42857142857142855,0.8571428571428571,0.7478766,0.36921436,fx-m
looplicator,2205,0.43219954648526077,0.4616780045351474,0.684718,0.3303084,is-p
Hewn.Marrow,88,0.4431818181818182,0.4772727272727273,0.72915167,0.38890916,m-sp
HAHAVOID,18,0.4444444444444444,0.5555555555555556,0.729225,0.4262992,is-p
RIFORKA,18,0.4444444444444444,0.6666666666666666,0.7604808,0.39963144,ss-n
NightDrawr,9,0.4444444444444444,0.8888888888888888,0.721936,0.41764227,fx-el
Sassaby,9,0.4444444444444444,0.4444444444444444,0.7273694,0.39546642,ss-n
forestfjord,9,0.4444444444444444,0.4444444444444444,0.8429921,0.46472216,ss-n
pablo.gonnet,9,0.4444444444444444,0.4444444444444444,0.8527001,0.41943195,ss-n
studioste,9,0.4444444444444444,0.8888888888888888,0.868263,0.41959682,fx-m
thaighaudio,9,0.4444444444444444,0.5555555555555556,0.7214636,0.33395752,ss-u
KVV_Audio,40,0.45,0.725,0.71293885,0.39891604,ss-u
hidetora,20,0.45,0.5,0.74787873,0.42994452,ss-n
adrianornhagen,11,0.45454545454545453,0.9090909090909091,0.666847,0.46096498,fx-el
SilverIllusionist,158,0.45569620253164556,0.6835443037974683,0.6677203,0.417583,m-m
JoãoPessoa,13,0.46153846153846156,0.6153846153846154,0.66784656,0.45203906,fx-o
zachrau,13,0.46153846153846156,0.5384615384615384,0.7208493,0.461085,ss-n
_RemezclaTuCiudad_,80,0.4625,0.65,0.7424482,0.40972692,ss-u
George_Papargyris,71,0.4647887323943662,0.5915492957746479,0.7747255,0.4579063,ss-n
JoelMcDaniel,15,0.4666666666666667,0.6,0.81890285,0.44640362,ss-n
Manuvasquez,113,0.4690265486725664,0.6371681415929203,0.7741647,0.4373123,fx-o
pauliepaulpaul,34,0.47058823529411764,0.5294117647058824,0.8230019,0.39553446,fx-h
Robinhood76,17,0.47058823529411764,0.8235294117647058,0.61642,0.32171032,fx-el
amaiasagasti,17,0.47058823529411764,0.5882352941176471,0.72375554,0.5204393,m-m
Andy21x,19,0.47368421052631576,0.9473684210526315,0.80623317,0.35260496,is-e
Imp_sounds,19,0.47368421052631576,0.6842105263157895,0.643121,0.40154758,fx-o
one_moment,21,0.47619047619047616,0.6190476190476191,0.7467023,0.38595667,ss-u
